d3mIndex,Month,State,County,Rate,County - named after (any)
414,November,Texas,Tyler County,7.4,John Tyler
415,May,California,Alpine County,9.2,Alps
416,June,Nebraska,Frontier County,2.5,
417,August,Washington,Lincoln County,5,Abraham Lincoln
418,February,Pennsylvania,Clearfield County,7.7,field
419,March,South Carolina,Sumter County,6.7,Thomas Sumter
420,August,Oklahoma,Woodward County,5,Woodward
421,July,Kansas,Pratt County,4.7,
422,June,Arkansas,Jefferson County,7.7,Thomas Jefferson
423,April,Texas,Navarro County,3.9,José Antonio Navarro
424,May,Kansas,Harvey County,4,James M. Harvey
425,March,Montana,Teton County,4.4,Teton Range
426,December,South Carolina,Chesterfield County,5.5,
427,January,Virginia,Greensville County,6.2,Richard Grenville
428,May,Kentucky,Oldham County,4,William Simpson Oldham Sr.
429,December,Mississippi,Oktibbeha County,6.7,
430,March,Nebraska,Holt County,2.6,Joseph Holt
431,November,Ohio,Ross County,5,James Ross
432,July,Mississippi,Marion County,8,Francis Marion
433,August,Oklahoma,Harmon County,2.8,Judson Harmon
434,April,Illinois,Union County,6.6,Union
435,May,New Mexico,Otero County,6.2,Miguel Antonio Otero
436,January,Texas,Uvalde County,5.2,
437,September,Tennessee,Humphreys County,6.6,Parry Wayne Humphreys
438,June,Pennsylvania,Monroe County,6.5,James Monroe
439,May,Tennessee,Gibson County,7.7,John Gibson
440,October,Minnesota,Big Stone County,3,Big Stone Lake
441,September,Virginia,Wythe County,5,George Wythe
442,October,Arkansas,Scott County,4.2,Winfield Scott
443,November,North Dakota,Burke County,3.2,Thomas Burke
444,August,Texas,Cooke County,4,
445,February,Illinois,Jersey County,6.8,New Jersey
446,March,Mississippi,Clay County,9.4,Henry Clay
447,March,Texas,Gray County,4.6,Peter W. Gray
448,February,Minnesota,Lincoln County,5.8,Abraham Lincoln
449,September,Kansas,Coffey County,5.7,
450,May,Montana,Lewis and Clark County,2.9,William Clark
451,June,Oklahoma,Delaware County,5.2,Delaware River
452,April,Illinois,Saline County,6.5,
453,January,Iowa,Black Hawk County,5.5,Black Hawk
454,April,New York,Oneida County,5.5,Oneida
455,March,Mississippi,Clarke County,7.6,John Clark
456,April,Montana,Toole County,2.9,Joseph Toole
457,September,South Dakota,Jackson County,3.3,Andrew Jackson
